"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN","TOBS","TSUN"
"USC00115922","42.07917","-87.94722","204.2","1996-03-17","0.05",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-18","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-19","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-20","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-21","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-22","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-23","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-24","0.35",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-25","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-26","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-27","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-28","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-29","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-30","0.01",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-03-31","0.08",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-01","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-02","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-03","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-04","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-05","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-06","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-07","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-08","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-09","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-10","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-11","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-12","0.07",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-13","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-14","0.66",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-15","0.11",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-16","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-17","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-18","0.43",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-19","0.16",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-20","0.01",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-21","0.11",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-22","0.11",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-23","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-24","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-25","0.13",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-26","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-27","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-28","0.03",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-29","0.23",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-04-30","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-05-01","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-05-02","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-05-03","0.12",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-05-04","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-05-05","0.04",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-05-06","0.09",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-05-07","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-05-08","0.36",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-05-09","1.16",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-05-10","0.12",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-05-11","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-05-12","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-05-13","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-05-14","0.24",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-05-15","0.78",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-05-16","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-05-17","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-05-18","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-05-19","1.86",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-05-20","0.09",,,,,
"USC00115922","42.07917","-87.94722","204.2","1996-05-21","0.00",,,,,
